Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 01:00:00,Jan-01,38124,0,9323,0.00,0.00,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 02:00:00,Jan-01,37123,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 03:00:00,Jan-01,35937,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 04:00:00,Jan-01,35133,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 05:00:00,Jan-01,34603,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 06:00:00,Jan-01,34451,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 07:00:00,Jan-01,34571,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 08:00:00,Jan-01,34635,7,9323,0.02,0.08,7,6085.29,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 09:00:00,Jan-01,35604,1344,9323,3.77,14.42,1336,17882.88,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 10:00:00,Jan-01,37914,3459,9323,9.12,37.10,2115,157.35,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 11:00:00,Jan-01,39986,3243,9323,8.11,34.79,-215,-6.23,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 12:00:00,Jan-01,41833,2691,9323,6.43,28.87,-552,-17.02,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 13:00:00,Jan-01,43162,3590,9323,8.32,38.51,899,33.39,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 14:00:00,Jan-01,44006,4742,9323,10.78,50.86,1152,32.09,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 15:00:00,Jan-01,44248,5070,9323,11.46,54.39,329,6.93,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 16:00:00,Jan-01,44208,4632,9323,10.48,49.68,-439,-8.65,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 17:00:00,Jan-01,44337,2013,9323,4.54,21.59,-2619,-56.55,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 18:00:00,Jan-01,44981,232,9323,0.52,2.49,-1781,-88.48,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 19:00:00,Jan-01,46107,0,9323,0.00,0.00,-231,-99.79,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 20:00:00,Jan-01,45944,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 21:00:00,Jan-01,45758,0,9323,0.00,0.00,0,0.00,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
