Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 01:00:00,Jan-01,38124,12067,34173,31.65,35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 02:00:00,Jan-01,37123,12884,34173,34.71,37.70,817,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 03:00:00,Jan-01,35937,14367,34173,39.98,42.04,1482,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 04:00:00,Jan-01,35133,16463,34173,46.86,48.18,2097,14.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 05:00:00,Jan-01,34603,18338,34173,52.99,53.66,1874,11.38,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 06:00:00,Jan-01,34451,18163,34173,52.72,53.15,-175,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 07:00:00,Jan-01,34571,18539,34173,53.62,54.25,376,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 08:00:00,Jan-01,34635,18307,34173,52.86,53.57,-232,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 09:00:00,Jan-01,35604,17300,34173,48.59,50.62,-1007,-5.50,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 10:00:00,Jan-01,37914,16916,34173,44.62,49.50,-384,-2.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 11:00:00,Jan-01,39986,17691,34173,44.24,51.77,775,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 12:00:00,Jan-01,41833,17782,34173,42.51,52.03,91,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 13:00:00,Jan-01,43162,16340,34173,37.86,47.81,-1442,-8.11,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 14:00:00,Jan-01,44006,14858,34173,33.77,43.48,-1481,-9.07,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 15:00:00,Jan-01,44248,14037,34173,31.72,41.08,-821,-5.53,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 16:00:00,Jan-01,44208,14345,34173,32.45,41.98,308,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 17:00:00,Jan-01,44337,16891,34173,38.10,49.43,2546,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 18:00:00,Jan-01,44981,18794,34173,41.78,55.00,1903,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 19:00:00,Jan-01,46107,19858,34173,43.07,58.11,1064,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 20:00:00,Jan-01,45944,20443,34173,44.49,59.82,585,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 21:00:00,Jan-01,45758,20859,34173,45.59,61.04,416,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 22:00:00,Jan-01,45519,21379,34173,46.97,62.56,520,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2022 23:00:00,Jan-01,44806,21761,34173,48.57,63.68,382,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 00:00:00,Jan-01,43861,21549,34173,49.13,63.06,-212,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 01:00:00,Jan-02,42880,20688,34173,48.25,60.54,-861,-3.99,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 02:00:00,Jan-02,42167,19945,34173,47.30,58.37,-743,-3.59,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 03:00:00,Jan-02,42061,19967,34173,47.47,58.43,22,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 04:00:00,Jan-02,42512,20257,34173,47.65,59.28,290,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 05:00:00,Jan-02,43466,20746,34173,47.73,60.71,490,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 06:00:00,Jan-02,44870,20299,34173,45.24,59.40,-447,-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 07:00:00,Jan-02,46848,19939,34173,42.56,58.35,-360,-1.77,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 08:00:00,Jan-02,49303,19362,34173,39.27,56.66,-577,-2.89,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 09:00:00,Jan-02,51361,17962,34173,34.97,52.56,-1399,-7.23,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 10:00:00,Jan-02,52453,15776,34173,30.08,46.17,-2186,-12.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 11:00:00,Jan-02,52303,13000,34173,24.85,38.04,-2776,-17.60,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 12:00:00,Jan-02,51422,10892,34173,21.18,31.87,-2108,-16.21,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 13:00:00,Jan-02,50254,10503,34173,20.90,30.73,-389,-3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 14:00:00,Jan-02,48523,9621,34173,19.83,28.15,-882,-8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 15:00:00,Jan-02,47015,8679,34173,18.46,25.40,-942,-9.79,,,,,,,,,,,,,,,,,,,,,,,,,,
